language,train_f1,val_f1,test_f1,improvement
mg,1.0,0.9421768707482994,0.9647577092511013,0.4587155963302672
fo,0.9966789202582238,0.908273381294964,0.9215070643642073,2.264808362369328
co,0.9756784435512523,0.8430769230769231,0.8443579766536965,3.827751196172249
hsb,0.9953473361849892,0.9516129032258065,0.829443447037702,-2.9411764705882355
bh,0.9979710584037911,0.9012567324955116,0.8692579505300353,8.370044052863426
cv,0.9939627795146253,0.9177852348993288,0.8516377649325626,2.552204176334103
