language,train_f1,val_f1,test_f1,improvement
mg,0.9990354071684859,0.9387755102040817,0.9625550660792952,0.2293577981651394
fo,0.9941308720460964,0.9154676258992805,0.9073783359497645,0.6968641114982377
co,0.999151274028217,0.8584615384615385,0.8793774319066148,8.133971291866027
hsb,0.9925818848997667,0.9556451612903226,0.8671454219030521,1.4705882352941178
bh,0.9977073277545065,0.8976660682226212,0.8162544169611308,1.7621145374449323
cv,0.9967071493722249,0.9312080536912751,0.8516377649325626,2.552204176334103
