language,train_f1,val_f1,test_f1,improvement
mg,0.999554367201426,0.9404761904761905,0.9625550660792952,0.2293577981651394
fo,0.9855115627536761,0.9028776978417267,0.9277864992150706,2.9616724738675777
co,0.9870443655705186,0.8584615384615385,0.8482490272373541,4.306220095693778
hsb,0.9987985974596647,0.9475806451612904,0.8599640933572711,0.6302521008403307
bh,0.9903250097131973,0.8940754039497307,0.8268551236749117,3.0837004405286286
cv,0.9890039848583254,0.9328859060402684,0.8053949903660886,-3.0162412993039447
