language,train_f1,val_f1,test_f1,improvement
mg,1.0,0.9319727891156463,0.9647577092511013,0.4587155963302672
fo,0.9902185986148303,0.9154676258992805,0.9167974882260597,1.742160278745631
co,0.9712372295566849,0.8461538461538461,0.8482490272373541,4.306220095693778
hsb,0.9989319522989919,0.9475806451612904,0.8456014362657092,-1.0504201680672307
bh,0.9974130861232069,0.9030520646319569,0.8321554770318021,3.744493392070483
cv,0.9952191555796515,0.9161073825503355,0.8709055876685935,4.8723897911832985
