language,train_f1,val_f1,test_f1,improvement,confidence_quantile
hsb,0.9859289140307418,0.9395161290322581,0.8671454219030521,1.4705882352941178,0.89
bh,0.9785841485747412,0.9012567324955116,0.8162544169611308,1.7621145374449323,0.89
cv,0.9804996557334924,0.9228187919463087,0.8439306358381503,1.624129930394433,0.89
mg,1.0,0.9421768707482994,0.9647577092511013,0.4587155963302672,0.89
fo,0.9870064034611394,0.908273381294964,0.9152276295133438,1.5679442508710655,0.89
co,0.9827878147409613,0.8738461538461538,0.8599221789883269,5.74162679425838,0.89
hsb,0.9403530484981695,0.9173387096774194,0.8132854578096947,-4.831932773109253,0.89
bh,0.9789567897325642,0.8994614003590664,0.8180212014134276,1.9823788546255507,0.89
cv,0.9962177599192017,0.9345637583892618,0.8535645472061657,2.784222737819024,0.89
mg,0.9998139880952381,0.9404761904761905,0.9647577092511013,0.4587155963302672,0.89
fo,0.9912179470094915,0.9154676258992805,0.9215070643642073,2.264808362369328,0.89
co,0.9890057039937324,0.8553846153846154,0.8871595330739299,9.090909090909086,0.89
hsb,0.9730223516548175,0.9596774193548387,0.8420107719928187,-1.4705882352941178,0.89
bh,0.9970337381913089,0.895870736086176,0.833922261484099,3.9647577092511015,0.89
cv,0.9917919034988112,0.9261744966442953,0.8420038535645472,1.392111368909512,0.89
mg,0.9972506983316851,0.9370748299319728,0.9647577092511013,0.4587155963302672,0.89
fo,0.9716169092604825,0.8848920863309353,0.8932496075353218,-0.8710801393728401,0.89
co,0.9985148629532492,0.8523076923076923,0.8871595330739299,9.090909090909086,0.89
hsb,0.9964899609117506,0.9415322580645161,0.8599640933572711,0.6302521008403307,0.89
bh,0.9921254308851905,0.895870736086176,0.8144876325088339,1.5418502202643143,0.89
cv,0.9931013448730638,0.9093959731543624,0.8574181117533719,3.248259860788866,0.89
mg,0.998756406698877,0.9421768707482994,0.9647577092511013,0.4587155963302672,0.89
fo,0.9772187372334766,0.8884892086330936,0.9105180533751962,1.0452961672473688,0.89
co,0.9877212521517083,0.8646153846153846,0.867704280155642,6.698564593301438,0.89
hsb,0.989976760839548,0.9475806451612904,0.8384201077199281,-1.890756302521018,0.89
bh,0.9930931185221674,0.9048473967684022,0.8286219081272085,3.303964757709247,0.89
cv,0.9957666088487744,0.9530201342281879,0.8670520231213873,4.408352668213457,0.89
mg,0.9997152619589977,0.9421768707482994,0.9647577092511013,0.4587155963302672,0.9
fo,0.9902456267846393,0.9118705035971223,0.902668759811617,0.17421602787455326,0.9
co,0.9982395719623007,0.8584615384615385,0.8832684824902723,8.612440191387556,0.9
hsb,0.9869482731294139,0.9556451612903226,0.8563734290843806,0.21008403361344355,0.9
bh,0.9938832107511871,0.8940754039497307,0.8409893992932862,4.845814977973561,0.9
cv,0.9964047054749998,0.9345637583892618,0.8631984585741811,3.944315545243615,0.9
mg,0.9986382866743784,0.9421768707482994,0.9647577092511013,0.4587155963302672,0.9
fo,0.9970082635022657,0.908273381294964,0.9073783359497645,0.6968641114982377,0.9
co,0.9864572606104276,0.8523076923076923,0.8832684824902723,8.612440191387556,0.9
hsb,0.9945948598725137,0.9435483870967742,0.8366247755834829,-2.1008403361344614,0.9
bh,0.9916381269769989,0.8886894075403949,0.8551236749116607,6.607929515418494,0.9
cv,0.9914017292599625,0.9144295302013423,0.838150289017341,0.9280742459396703,0.9
mg,0.9880725019842475,0.9472789115646258,0.9647577092511013,0.4587155963302672,0.9
fo,0.9862062560446538,0.9100719424460432,0.9120879120879121,1.2195121951219345,0.9
co,0.9769541436770562,0.8707692307692307,0.8871595330739299,9.090909090909086,0.9
hsb,0.9902707557607434,0.9395161290322581,0.8456014362657092,-1.0504201680672307,0.9
bh,0.9973566200967973,0.9066427289048474,0.8515901060070671,6.167400881057257,0.9
cv,0.9940629106001645,0.9261744966442953,0.8631984585741811,3.944315545243615,0.9
mg,1.0,0.9438775510204082,0.9625550660792952,0.2293577981651394,0.9
fo,0.9968693546661032,0.9172661870503597,0.902668759811617,0.17421602787455326,0.9
co,0.9896257198572403,0.8461538461538461,0.8910505836575876,9.56937799043063,0.9
hsb,0.9841866447238823,0.9556451612903226,0.8725314183123878,2.1008403361344485,0.9
bh,0.9949546433312764,0.9012567324955116,0.833922261484099,3.9647577092511015,0.9
cv,0.9986052545692634,0.9446308724832215,0.8323699421965318,0.23201856148492092,0.9
mg,0.9621495226187873,0.9693877551020408,0.9559471365638766,-0.4587155963302788,0.9
fo,0.9944555483079429,0.9046762589928058,0.9089481946624803,0.8710801393728032,0.9
co,0.9923277399291931,0.88,0.8326848249027238,2.392344497607661,0.9
hsb,0.9942467262415671,0.9495967741935484,0.8384201077199281,-1.890756302521018,0.9
bh,0.9769192975065989,0.9048473967684022,0.8286219081272085,3.303964757709247,0.9
cv,0.9870150670909803,0.9211409395973155,0.859344894026975,3.480278422273787,0.9
mg,1.0,0.9455782312925171,0.9647577092511013,0.4587155963302672,0.91
fo,0.9837681411456066,0.9136690647482014,0.9356357927786499,3.8327526132404053,0.91
co,0.9778071254935643,0.8615384615384616,0.867704280155642,6.698564593301438,0.91
hsb,0.9914983963958119,0.9435483870967742,0.8420107719928187,-1.4705882352941178,0.91
bh,0.9928660399643041,0.9102333931777379,0.8250883392226148,2.86343612334801,0.91
cv,0.9941709434547769,0.9261744966442953,0.8497109826589595,2.320185614849182,0.91
mg,0.9982545202798453,0.9387755102040817,0.960352422907489,0.0,0.91
fo,0.9962739973182313,0.908273381294964,0.9309262166405023,3.3101045296167086,0.91
co,0.9893789957339282,0.8646153846153846,0.867704280155642,6.698564593301438,0.91
hsb,0.9935337004929436,0.9435483870967742,0.822262118491921,-3.781512605042023,0.91
bh,0.988135538072854,0.8761220825852782,0.8409893992932862,4.845814977973561,0.91
cv,0.9796119800973951,0.9261744966442953,0.8400770712909441,1.160092807424591,0.91
mg,0.9995247131785099,0.9387755102040817,0.9647577092511013,0.4587155963302672,0.91
fo,0.990864621931329,0.9100719424460432,0.9136577708006279,1.3937282229964998,0.91
co,0.9962502820881615,0.8646153846153846,0.8871595330739299,9.090909090909086,0.91
hsb,0.9886458977765508,0.9435483870967742,0.8384201077199281,-1.890756302521018,0.91
bh,0.9839466081775171,0.8940754039497307,0.8162544169611308,1.7621145374449323,0.91
cv,0.9982956388515488,0.9144295302013423,0.8458574181117534,1.8561484918793538,0.91
mg,0.9988877350811493,0.9472789115646258,0.9647577092511013,0.4587155963302672,0.91
fo,0.9924874701445989,0.9028776978417267,0.9058084772370487,0.5226480836236844,0.91
co,0.9931638892888941,0.8646153846153846,0.8638132295719845,6.22009569377991,0.91
hsb,0.9945323535908065,0.9657258064516129,0.8348294434470377,-2.310924369747905,0.91
bh,0.9903685241148067,0.8833034111310593,0.8197879858657244,2.2026431718061694,0.91
cv,0.989565293550076,0.9177852348993288,0.8285163776493256,-0.23201856148492092,0.91
mg,0.9837861158376626,0.9319727891156463,0.9625550660792952,0.2293577981651394,0.91
fo,0.9823776940738502,0.908273381294964,0.8932496075353218,-0.8710801393728401,0.91
co,0.9739662031737384,0.8861538461538462,0.8715953307392996,7.177033492822968,0.91
hsb,0.9821431402534456,0.9657258064516129,0.8653500897666068,1.2605042016806614,0.91
bh,0.9962571759218053,0.9048473967684022,0.842756183745583,5.0660792951541795,0.91
cv,0.9972884313867469,0.9261744966442953,0.8574181117533719,3.248259860788866,0.91
mg,0.9998292349726776,0.9404761904761905,0.9647577092511013,0.4587155963302672,0.92
fo,0.9905736770964805,0.908273381294964,0.9073783359497645,0.6968641114982377,0.92
co,0.993080331517017,0.8584615384615385,0.8715953307392996,7.177033492822968,0.92
hsb,0.9934495225090731,0.9475806451612904,0.8653500897666068,1.2605042016806614,0.92
bh,0.993505500646326,0.8976660682226212,0.842756183745583,5.0660792951541795,0.92
cv,0.9962706653447666,0.9228187919463087,0.8516377649325626,2.552204176334103,0.92
mg,0.9998139880952381,0.9455782312925171,0.9647577092511013,0.4587155963302672,0.92
fo,0.9866417046834176,0.9064748201438849,0.9120879120879121,1.2195121951219345,0.92
co,0.9889324251864683,0.8523076923076923,0.8404669260700389,3.349282296650719,0.92
hsb,0.9877077596988533,0.9415322580645161,0.8366247755834829,-2.1008403361344614,0.92
bh,0.9966585039058015,0.9084380610412927,0.8162544169611308,1.7621145374449323,0.92
cv,0.9865662638496377,0.9093959731543624,0.8535645472061657,2.784222737819024,0.92
mg,0.9977175523497959,0.9421768707482994,0.9625550660792952,0.2293577981651394,0.92
fo,0.9849228970107613,0.908273381294964,0.9105180533751962,1.0452961672473688,0.92
co,0.9973502620274639,0.8369230769230769,0.9066147859922179,11.483253588516746,0.92
hsb,0.9975353691552852,0.9475806451612904,0.8438061041292639,-1.2605042016806742,0.92
bh,0.9854107444582588,0.8797127468581688,0.8321554770318021,3.744493392070483,0.92
cv,0.9979576766374562,0.924496644295302,0.8689788053949904,4.640371229698378,0.92
mg,0.9805462461495964,0.9540816326530612,0.9515418502202643,-0.9174311926605576,0.92
fo,0.9854087549525766,0.9118705035971223,0.9199372056514914,2.090592334494762,0.92
co,0.9950750936684357,0.8646153846153846,0.8482490272373541,4.306220095693778,0.92
hsb,0.9974973245170955,0.9516129032258065,0.8509874326750448,-0.4201680672269001,0.92
bh,0.9869978782651625,0.8868940754039497,0.8321554770318021,3.744493392070483,0.92
cv,0.9876845883870073,0.9110738255033557,0.8323699421965318,0.23201856148492092,0.92
mg,0.9986037935584459,0.9506802721088435,0.9691629955947136,0.917431192660546,0.92
fo,0.9902548037990864,0.8920863309352518,0.9089481946624803,0.8710801393728032,0.92
co,0.9984517507079628,0.8584615384615385,0.8949416342412452,10.047846889952158,0.92
hsb,0.935608348087051,0.9133064516129032,0.8061041292639138,-5.672268907563028,0.92
bh,0.9842048411371885,0.9030520646319569,0.8180212014134276,1.9823788546255507,0.92
cv,0.9964555236859927,0.9228187919463087,0.8111753371868978,-2.320185614849196,0.92
mg,1.0,0.9370748299319728,0.9647577092511013,0.4587155963302672,0.93
fo,0.9947100353546952,0.9046762589928058,0.9152276295133438,1.5679442508710655,0.93
co,0.9762090675754167,0.8584615384615385,0.8871595330739299,9.090909090909086,0.93
hsb,0.9920540146550874,0.9354838709677419,0.8473967684021544,-0.8403361344537872,0.93
bh,0.9928399449788885,0.8868940754039497,0.7968197879858657,-0.6607929515418549,0.93
cv,0.9916316926773091,0.912751677852349,0.8477842003853564,2.0881670533642613,0.93
mg,1.0,0.9404761904761905,0.9647577092511013,0.4587155963302672,0.93
fo,0.9963531447472304,0.8884892086330936,0.9230769230769231,2.4390243902438935,0.93
co,0.9901661614206243,0.8646153846153846,0.8326848249027238,2.392344497607661,0.93
hsb,0.985548419138481,0.9516129032258065,0.8617594254937163,0.8403361344537742,0.93
bh,0.9854528889890051,0.9012567324955116,0.823321554770318,2.643171806167392,0.93
cv,0.9904913895769765,0.9345637583892618,0.8246628131021194,-0.6960556844547627,0.93
mg,0.9993584850269135,0.9370748299319728,0.9625550660792952,0.2293577981651394,0.93
fo,0.9881964380400208,0.8974820143884892,0.9058084772370487,0.5226480836236844,0.93
co,0.9749453305606478,0.8307692307692308,0.8560311284046692,5.263157894736837,0.93
hsb,0.9822973027391789,0.9536290322580645,0.874326750448833,2.310924369747892,0.93
bh,0.984888810831191,0.895870736086176,0.8197879858657244,2.2026431718061694,0.93
cv,0.9853419976717401,0.9093959731543624,0.8342967244701349,0.46403712296984184,0.93
mg,0.9991861846766908,0.9455782312925171,0.9647577092511013,0.4587155963302672,0.93
fo,0.9771910412651799,0.9064748201438849,0.8791208791208791,-2.439024390243918,0.93
co,0.9932824080620488,0.8492307692307692,0.8871595330739299,9.090909090909086,0.93
hsb,0.9957019052498048,0.9495967741935484,0.8491921005385996,-0.6302521008403437,0.93
bh,0.991479235075536,0.9048473967684022,0.8162544169611308,1.7621145374449323,0.93
cv,0.9959751242988621,0.9278523489932886,0.8439306358381503,1.624129930394433,0.93
mg,0.9582548404271231,0.9523809523809523,0.9559471365638766,-0.4587155963302788,0.93
fo,0.9957903173757827,0.9172661870503597,0.9262166405023547,2.7874564459930125,0.93
co,0.9911263958510473,0.8707692307692307,0.8832684824902723,8.612440191387556,0.93
hsb,0.9894062074159305,0.9516129032258065,0.8384201077199281,-1.890756302521018,0.93
bh,0.9770765705199932,0.881508078994614,0.8109540636042403,1.1013215859030776,0.93
cv,0.9891002889745875,0.9060402684563759,0.8323699421965318,0.23201856148492092,0.93
