language,train_f1,val_f1,test_f1,improvement,confidence_quantile
mg,0.9995429616087752,0.9438775510204082,0.960352422907489,0.0,0.88
fo,0.992798990424358,0.908273381294964,0.9120879120879121,1.2195121951219345,0.88
co,0.9984308801728204,0.8523076923076923,0.8832684824902723,8.612440191387556,0.88
hsb,0.9630055567253982,0.9334677419354839,0.8384201077199281,-1.890756302521018,0.88
bh,0.995532863977152,0.9030520646319569,0.8268551236749117,3.0837004405286286,0.88
cv,0.9778491003024975,0.9211409395973155,0.8323699421965318,0.23201856148492092,0.88
mg,1.0,0.9455782312925171,0.9647577092511013,0.4587155963302672,0.88
fo,0.9941975445389115,0.908273381294964,0.9120879120879121,1.2195121951219345,0.88
co,0.9700600189522359,0.8769230769230769,0.8326848249027238,2.392344497607661,0.88
hsb,0.9824192594504799,0.9395161290322581,0.8473967684021544,-0.8403361344537872,0.88
bh,0.9969169911564995,0.895870736086176,0.8056537102473498,0.44052863436122275,0.88
cv,0.9924639140880829,0.9261744966442953,0.8574181117533719,3.248259860788866,0.88
mg,0.8635473467581699,0.9642857142857143,0.9449339207048458,-1.6055045871559641,0.88
fo,0.9868367696149326,0.9154676258992805,0.9230769230769231,2.4390243902438935,0.88
co,0.9864388475825179,0.8430769230769231,0.8754863813229572,7.655502392344498,0.88
hsb,0.9823414259889476,0.9637096774193549,0.8563734290843806,0.21008403361344355,0.88
bh,0.9831921795115289,0.8850987432675045,0.8268551236749117,3.0837004405286286,0.88
cv,0.9936379336442607,0.9161073825503355,0.8323699421965318,0.23201856148492092,0.88
mg,0.9992057037741106,0.9506802721088435,0.9647577092511013,0.4587155963302672,0.88
fo,0.9854374085571355,0.9100719424460432,0.9120879120879121,1.2195121951219345,0.88
co,0.9821026601263214,0.8523076923076923,0.8910505836575876,9.56937799043063,0.88
hsb,0.9899911411880533,0.9616935483870968,0.8258527827648114,-3.3613445378151354,0.88
bh,0.9909416913263458,0.8886894075403949,0.8127208480565371,1.321585903083696,0.88
cv,0.9973668421379093,0.912751677852349,0.8497109826589595,2.320185614849182,0.88
mg,0.9988861997582491,0.9540816326530612,0.9647577092511013,0.4587155963302672,0.88
fo,0.9872782228731284,0.9064748201438849,0.9262166405023547,2.7874564459930125,0.88
co,0.9996761658031088,0.8461538461538461,0.8949416342412452,10.047846889952158,0.88
hsb,0.9717326835658557,0.9334677419354839,0.8473967684021544,-0.8403361344537872,0.88
bh,0.9788468119194447,0.9030520646319569,0.8056537102473498,0.44052863436122275,0.88
cv,0.995858746395996,0.9345637583892618,0.8400770712909441,1.160092807424591,0.88
mg,0.9997714808043876,0.9370748299319728,0.9625550660792952,0.2293577981651394,0.89
fo,0.9922875917874641,0.8974820143884892,0.9120879120879121,1.2195121951219345,0.89
co,0.9986575775280208,0.8369230769230769,0.8599221789883269,5.74162679425838,0.89
