language,train_f1,val_f1,test_f1,improvement
mg,1.0,0.9421768707482994,0.9647577092511013,0.4587155963302672
fo,0.9946586882611645,0.9028776978417267,0.8979591836734694,-0.3484320557491435
co,0.9856387855311194,0.8738461538461538,0.8638132295719845,6.22009569377991
hsb,0.9991828081965148,0.9556451612903226,0.8797127468581688,2.9411764705882355
bh,0.9960495529771911,0.9066427289048474,0.8250883392226148,2.86343612334801
cv,0.9987248353852394,0.9110738255033557,0.8420038535645472,1.392111368909512
