language,train_f1,val_f1,test_f1,improvement
mg,1.0,0.9438775510204082,0.9647577092511013,0.4587155963302672
fo,0.9910433124206075,0.9010791366906474,0.9262166405023547,2.7874564459930125
co,0.9898944235798863,0.8553846153846154,0.8326848249027238,2.392344497607661
hsb,0.9875995966241881,0.9516129032258065,0.8563734290843806,0.21008403361344355
bh,0.9964971259615848,0.9084380610412927,0.8250883392226148,2.86343612334801
cv,0.9948387216100687,0.9295302013422819,0.8439306358381503,1.624129930394433
