language,train_f1,val_f1,test_f1,improvement
mg,0.9937283039058492,0.9336734693877551,0.960352422907489,0.0
fo,0.9153714615647508,0.8651079136690647,0.8854003139717426,-1.7421602787456556
co,0.942341464250714,0.8646153846153846,0.8754863813229572,7.655502392344498
hsb,0.9916166664156254,0.9516129032258065,0.8491921005385996,-0.6302521008403437
bh,0.9121424840490587,0.8635547576301615,0.833922261484099,3.9647577092511015
cv,0.9546359705629093,0.9060402684563759,0.8034682080924855,-3.248259860788866
